DBN,Number of Students English,Number of Students Math,Number of Students Science,Number of Students Social Studies,Number of Classes English,Number of Classes Math,Number of Classes Science,Number of Classes Social Studies,Average Class Size English,Average Class Size Math,Average Class Size Science,Average Class Size Social Studies,School Pupil-Teacher Ratio
17K354,227.0,317.0,213.0,213.0,15.0,16.0,12.0,12.0,15.133333333333333,19.8125,17.75,17.75,7.5
17K382,224.0,212.0,146.0,140.0,10.0,9.0,6.0,6.0,22.4,23.555555555555557,24.333333333333332,23.333333333333332,14.900000000000002
17K394,284.0,308.0,154.0,154.0,13.0,14.0,7.0,7.0,21.846153846153847,22.0,22.0,22.0,14.0
17K484,,135.0,115.0,,,6.0,5.0,,,22.5,23.0,,11.6
17K531,87.0,80.0,80.0,80.0,5.0,4.0,4.0,4.0,17.4,20.0,20.0,20.0,16.099999999999998
17K533,41.0,34.0,33.0,30.0,4.0,3.0,3.0,2.0,10.25,11.333333333333334,11.0,15.0,10.1
17K543,264.0,243.0,244.0,199.0,12.0,11.0,11.0,9.0,22.0,22.09090909090909,22.181818181818183,22.11111111111111,17.900000000000002
17K590,305.0,305.0,239.0,305.0,12.0,12.0,10.0,12.0,25.416666666666668,25.416666666666668,23.9,25.416666666666668,19.099999999999998
17K722,395.0,248.0,359.0,249.0,18.0,12.0,16.0,12.0,21.944444444444443,20.666666666666668,22.4375,20.75,11.0
18K066,415.0,311.0,311.0,311.0,16.0,12.0,12.0,12.0,25.9375,25.916666666666668,25.916666666666668,25.916666666666668,16.0
18K068,421.0,399.0,399.0,399.0,19.0,18.0,18.0,18.0,22.157894736842106,22.166666666666668,22.166666666666668,22.166666666666668,10.0
18K211,723.0,656.0,600.0,577.0,34.0,28.0,27.0,25.0,21.264705882352942,23.428571428571427,22.22222222222222,23.08,14.0
18K235,307.0,307.0,307.0,307.0,11.0,11.0,11.0,11.0,27.90909090909091,27.90909090909091,27.90909090909091,27.90909090909091,18.2
18K285,435.0,650.0,419.0,419.0,17.0,25.0,16.0,16.0,25.58823529411765,26.0,26.1875,26.1875,13.599999999999996
