DBN,DataName,SchoolName1,SchoolName2,NumSHSATTestTakers,NumSpecializedOffers,OffersPerStudent,PctBlackOrHispanic
22K278,J.H.S. 278 MARINE PARK,Junior High School 278,The Marine Park School,98,7,2%,60%
30Q145,I.S. 145 JOSEPH PULITZER,Intermediate School 145,The Joseph Pulitzer School,137,7,1%,90%
03M291,WEST END SECONDARY SCHOOL,,West End Secondary School,31,6,5%,25%
15K497,THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES,,The Boerum Hill School for International Studies,32,6,6%,60%
84X494,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 2,,Success Academy Charter School - Bronx 2,36,6,9%,97%
25Q164,P.S. 164 QUEENS VALLEY,Public School 164,The Queens Valley School,38,6,7%,32%
20K030,P.S./I.S. 30 MARY WHITE OVINGTON,Public School/Intermediate School 30,The Mary White Ovington School,51,6,5%,32%
84Q298,MIDDLE VILLAGE PREP CHARTER SCHOOL,,Middle Village Prep Charter School,58,6,5%,58%
31R051,I.S. 051 EDWIN MARKHAM,Intermediate School 51,The Edwin Markham School,101,6,1%,68%
01M188,P.S. 188 THE ISLAND SCHOOL,Public School 188,The Island School,0,0,0,95%
02M225,ELLA BAKER SCHOOL,,Ella Baker School,0,0,0,49%
02M655,LIFE SCIENCES SECONDARY SCHOOL,,Life Sciences Secondary School,0,0,0,88%
03M076,P.S. 076 A. PHILIP RANDOLPH,Public School 76,The A. Philip Randolph School,0,0,0,97%
03M149,P.S. 149 SOJOURNER TRUTH,Public School 149,The Sojourner Truth School,0,0,0,91%
03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,Middle School 250,The West Side Collaborative Middle School,0,0,0,83%
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,,Frederick Douglass Academy II Secondary School,0,0,0,95%
04M007,P.S. 007 SAMUEL STERN,Public School 7,The Samuel Stern School,0,0,0,93%
04M096,P.S. 096 JOSEPH LANZETTA,Public School 96,The Joseph Lanzetta School,0,0,0,93%
04M372,ESPERANZA PREPARATORY ACADEMY,,Esperanza Preparatory Academy,0,0,0,96%
04M406,GLOBAL TECHNOLOGY PREPARATORY,,Global Technology Preparatory,0,0,0,93%
05M123,P.S. 123 MAHALIA JACKSON,Public School 123,The Mahalia Jackson School,0,0,0,92%
06M349,HARBOR HEIGHTS,,Harbor Heights,0,0,0,100%
06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,Intermediate School 528,The Bea Fuller Rodgers School,0,0,0,100%
07X151,J.H.S. 151 LOU GEHRIG,Junior High School 151,The Lou Gehrig School,0,0,0,97%
07X224,P.S./I.S. 224,,Public School/Intermediate School 224,0,0,0,98%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,,Hostos-Lincoln Academy of Science,0,0,0,96%
07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,,The Urban Assembly Bronx Academy of Letters,0,0,0,96%
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,,Bronx Studio School for Writers and Artists,0,0,0,98%
08X301,M.S. 301 PAUL L. DUNBAR,Middle School 301,The Paul L. Dunbar School,0,0,0,98%
08X424,THE HUNTS POINT SCHOOL,,The Hunts Point School,0,0,0,96%
09X117,I.S. 117 JOSEPH H. WADE,Intermediate School 117,The Joseph H. Wade School,0,0,0,97%
09X229,I.S. 229 ROLAND PATTERSON,Intermediate School 229,The Roland Patterson School,0,0,0,98%
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,,International School for Liberal Arts,0,0,0,100%
12X098,J.H.S. 098 HERMAN RIDDER,Junior High School 98,The Herman Ridder School,0,0,0,95%
12X212,P.S. 212,,Public School 212,0,0,0,98%
12X267,BRONX LATIN,,Bronx Latin,0,0,0,97%
12X286,FANNIE LOU HAMER MIDDLE SCHOOL,,Fannie Lou Hamer Middle School,0,0,0,97%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,,Dr. Susan S. McKinney Secondary School of the Arts,0,0,0,95%
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,,Juan Morel Campos Secondary School,0,0,0,93%
14K582,M.S. 582,,Middle School 582,0,0,0,93%
14K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,,Young Women's Leadership School of Brooklyn,0,0,0,88%
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",,The School for Human Rights,0,0,0,96%
23K041,P.S. 041 FRANCIS WHITE,Public School 41,The Francis White School,0,0,0,91%
23K178,P.S. 178 SAINT CLAIR MCKELWAY,Public School 178,The Saint Clair McKelway School,0,0,0,93%
23K184,P.S. 184 NEWPORT,Public School 184,The Newport School,0,0,0,98%
23K697,TEACHERS PREPARATORY HIGH SCHOOL,,Teachers Preparatory High School,0,0,0,93%
27Q042,P.S./M.S. 042 R. VERNAM,Public School/Middle School 42,The R. Vernam School,0,0,0,95%
27Q047,P.S. 047 CHRIS GALAS,Public School 47,The Chris Galas School,0,0,0,20%
27Q114,P.S./M.S. 114 BELLE HARBOR,Public School/Middle School 114,The Belle Harbor School,0,0,0,13%
27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,,Waterside School for Leadership,0,0,0,88%
29Q327,EAGLE ACADEMY FOR YOUNG MEN III,,Eagle Academy for Young Men III,0,0,0,92%
75K140,P.S. K140,,Public School K140,0,0,0,91%
75K369,P.S. K369 - COY L. COX SCHOOL,Public School K369,The Coy L. Cox School,0,0,0,87%
75M094,P.S. M094,,Public School M94,0,0,0,75%
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,Intermediate School/Public School 25,The South Richmond High School,0,0,0,69%
75X017,P.S. X017,,Public School X17,0,0,0,92%
75X168,P.S. 168,,Public School 168,0,0,0,94%
75X176,P.S. X176,,Public School X176,0,0,0,90%
84M204,CAPITAL PREPARATORY (CP) HARLEM CHARTER SCHOOL,,Capital Preparatory Harlem Charter School,0,0,0,98%
