Hidden Layers,Accuracy,Acc Lower CI,Acc Upper CI,F1,F1 Lower CI,F1 Upper CI
"(99, 198, 49, 148)",0.8218378378378379,0.7082499484022001,0.9354257272734757,0.583955302551128,0.27125642092363955,0.8966541841786165
"(99, 198, 49, 198)",0.8138018018018018,0.714665578586078,0.9129380250175256,0.5573271173271174,0.26837470570930055,0.8462795289449342
"(99, 198, 99)",0.821873873873874,0.7010976433466363,0.9426501044011117,0.5751165912456235,0.22763006524229445,0.9226031172489526
"(99, 198, 99, 24)",0.8245405405405404,0.7066086630829503,0.9424724179981304,0.5830721966205837,0.2604764652457556,0.9056679279954118
"(99, 198, 99, 49)",0.8245405405405407,0.7090126194670922,0.9400684616139893,0.593444580944581,0.2881977170040309,0.8986914448851311
"(99, 198, 99, 99)",0.8326126126126127,0.7038380379597605,0.9613871872654648,0.6170399260182542,0.2873032596830817,0.9467765923534267
"(99, 198, 99, 148)",0.8488648648648649,0.7458483527897763,0.9518813769399534,0.640643093465674,0.3323920164865615,0.9488941704447866
"(99, 198, 99, 198)",0.8246126126126125,0.7433411528374899,0.9058840723877352,0.5985393422545814,0.37779993869057305,0.8192787458185897
"(99, 198, 148)",0.8326486486486486,0.7252368050678912,0.940060492229406,0.6034603626396796,0.3167460653290173,0.890174659950342
"(99, 198, 148, 24)",0.8273513513513514,0.7545992646292159,0.9001034380734869,0.5955635820151949,0.37511639569564964,0.8160107683347402
"(99, 198, 148, 49)",0.8326486486486487,0.7252368050678913,0.9400604922294061,0.6066353117823706,0.3139161694108707,0.8993544541538705
"(99, 198, 148, 99)",0.8218378378378379,0.6987642122354412,0.9449114634402347,0.5941353117823706,0.2903546147953866,0.8979160087693545
"(99, 198, 148, 148)",0.821873873873874,0.7107793683036514,0.9329683794440966,0.6014005602240896,0.3374423469943986,0.8653587734537806
"(99, 198, 148, 198)",0.8353153153153153,0.7218470368408902,0.9487835937897404,0.5992472342472344,0.2710173102607895,0.9274771582336792
"(99, 198, 198)",0.8245405405405405,0.7218732883032393,0.9272077927778417,0.5932486270247181,0.32290157030830946,0.8635956837411268
"(99, 198, 198, 24)",0.8218378378378379,0.7022331700391257,0.9414425056365502,0.5962418300653595,0.31828811077549596,0.8741955493552229
"(99, 198, 198, 49)",0.8353513513513514,0.7206326818765121,0.9500700208261907,0.6156979458450047,0.30714888214083885,0.9242470095491706
"(99, 198, 198, 99)",0.8326846846846847,0.718937655812747,0.9464317135566224,0.6125835275835276,0.30446980233627563,0.9206972528307796
"(99, 198, 198, 148)",0.8191711711711711,0.7256010189846291,0.9127413233577131,0.5707026361336707,0.28865049551819827,0.852754776749143
"(99, 198, 198, 198)",0.8192072072072072,0.7256674494664919,0.9127469649479225,0.5796381396381396,0.3310234509876534,0.8282528282886258
148,0.819135135135135,0.6992773481793548,0.9389929220909152,0.5694875017455663,0.2669334000569733,0.8720416034341593
"(148, 24)",0.8245765765765766,0.7115025619396803,0.9376505912134728,0.5717664742664742,0.28027512865570997,0.8632578198772385
"(148, 24, 24)",0.8326486486486487,0.7164522664014641,0.9488450308958334,0.6012370647520815,0.3219241177295988,0.8805500117745642
"(148, 24, 24, 24)",0.8489009009009008,0.7367839015135318,0.9610179002882697,0.6535131100648341,0.3913417753581996,0.9156844447714687
"(148, 24, 24, 49)",0.829981981981982,0.7149852938382125,0.9449786701257515,0.6098955815487256,0.3216290218211564,0.8981621412762948
"(148, 24, 24, 99)",0.8353873873873873,0.7322752297767408,0.9384995449980338,0.6291535041535041,0.3827007813691988,0.8756062269378095
"(148, 24, 24, 148)",0.8219099099099101,0.7242911724801602,0.91952864733966,0.6041998043236433,0.3584051727459017,0.8499944359013849
