,rank,1s,dbn,school_name,economic_need_index,grade_7_enrollment,num_shsat_test_takers,pct_test_takers,percent_black__hispanic,minority_delta,score
223,22,5.0,19K409,EAST NEW YORK FAMILY ACADEMY,0.716,75.0,10.0,5.0,95.0,27,13.5
325,23,9.0,17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",0.536,64.0,20.0,12.0,94.0,12,10.8
59,24,2.0,15K088,J.H.S. 088 PETER ROUGET,0.7190000000000001,466.0,163.0,39.0,71.0,53,10.600000000000001
420,25,5.0,10X280,P.S./M.S. 280 MOSHOLU PARKWAY,0.8370000000000001,129.0,41.0,40.0,83.0,21,10.5
63,26,10.0,20K223,J.H.S. 223 THE MONTAUK,0.792,341.0,142.0,43.0,31.0,10,10.0
343,27,8.0,31R080,THE MICHAEL J. PETRIDES SCHOOL,0.366,98.0,22.0,10.0,42.0,12,9.600000000000001
35,28,4.0,21K281,I.S. 281 JOSEPH B CAVALLARO,0.631,492.0,171.0,42.0,29.0,23,9.200000000000001
193,29,7.0,13K266,M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,0.6890000000000001,39.0,8.0,11.0,98.0,12,8.399999999999999
41,30,4.0,30Q227,I.S. 227 LOUIS ARMSTRONG,0.5539999999999999,472.0,206.0,44.0,59.0,20,8.0
107,31,1.0,22K278,J.H.S. 278 MARINE PARK,0.494,428.0,98.0,33.0,63.0,76,7.6000000000000005
344,32,9.0,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,0.667,61.0,22.0,17.0,89.0,8,7.2
275,33,2.0,09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,0.862,100.0,15.0,7.0,99.0,36,7.2
445,34,2.0,30Q010,I.S. 010 HORACE GREELEY,0.605,233.0,56.0,22.0,58.0,36,7.2
365,35,6.0,24Q113,P.S./I.S. 113 ANTHONY J. PRANZO,0.263,109.0,26.0,19.0,41.0,12,7.199999999999999
26,36,10.0,28Q157,J.H.S. 157 STEPHEN A. HALSEY,0.408,528.0,249.0,43.0,33.0,7,7.0
409,37,4.0,18K066,P.S. 66,0.526,107.0,37.0,36.0,95.0,17,6.800000000000001
73,38,8.0,24Q049,P.S. 049 DOROTHY BONAWIT KOLE,0.348,142.0,43.0,32.0,26.0,8,6.4
36,39,9.0,25Q025,I.S. 025 ADRIEN BLOCK,0.336,346.0,147.0,44.0,25.0,7,6.3
33,40,7.0,24Q125,I.S. 125 THOM J. MCCANN WOODSIDE,0.615,567.0,272.0,50.0,54.0,9,6.3
30,41,7.0,31R075,I.S. 075 FRANK D. PAULO,0.207,463.0,153.0,35.0,11.0,9,6.3
102,42,8.0,02M131,M.S. 131,0.8370000000000001,165.0,54.0,38.0,22.0,7,5.6000000000000005
68,43,7.0,25Q189,J.H.S. 189 DANIEL CARTER BEARD,0.63,248.0,97.0,39.0,28.0,8,5.6
256,44,2.0,06M293,CITY COLLEGE ACADEMY OF THE ARTS,0.708,79.0,13.0,7.0,97.0,26,5.2
456,45,1.0,10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,0.85,285.0,91.0,33.0,94.0,51,5.1000000000000005
272,46,10.0,03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,0.233,63.0,15.0,30.0,27.0,5,5.0
39,47,10.0,27Q323,SCHOLARS' ACADEMY,0.40299999999999997,231.0,104.0,24.0,37.0,5,5.0
462,48,10.0,11X180,M.S. 180 DR. DANIEL HALE WILLIAMS,0.504,307.0,151.0,49.0,92.0,5,5.0
91,49,5.0,11X127,J.H.S. 127 THE CASTLE HILL,0.716,289.0,133.0,46.0,64.0,9,4.5
404,50,3.0,29Q270,THE GORDON PARKS SCHOOL,0.358,99.0,35.0,36.0,98.0,15,4.5
49,51,7.0,05M362,COLUMBIA SECONDARY SCHOOL,0.507,99.0,42.0,20.0,65.0,6,4.199999999999999
60,52,1.0,30Q126,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,0.7070000000000001,240.0,59.0,32.0,64.0,41,4.1000000000000005
99,53,8.0,25Q219,P.S. 219 PAUL KLAPPER,0.457,83.0,29.0,38.0,40.0,5,4.0
401,54,4.0,17K340,I.S. 340,0.764,87.0,35.0,47.0,96.0,9,3.6
183,55,7.0,21K121,P.S. 121 NELSON A. ROCKEFELLER,0.682,35.0,7.0,22.0,45.0,5,3.5
266,56,7.0,11X175,P.S. 175 CITY ISLAND,0.247,51.0,14.0,31.0,38.0,5,3.5
425,57,1.0,10X095,P.S. 095 SHEILA MENCHER,0.7859999999999999,156.0,42.0,26.0,87.0,33,3.3000000000000003
260,58,1.0,09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",0.8029999999999999,91.0,13.0,6.0,96.0,32,3.2
406,59,4.0,11X498,P.S./M.S. 11X498 - VAN NEST ACADEMY,0.647,91.0,36.0,37.0,78.0,8,3.2
376,60,2.0,29Q208,P.S./I.S. 208,0.302,92.0,28.0,27.0,87.0,16,3.2
11,61,10.0,20K259,J.H.S. 259 WILLIAM MCKINLEY,0.622,630.0,309.0,53.0,23.0,3,3.0
364,62,10.0,13K492,ACADEMY OF ARTS AND LETTERS,0.363,63.0,26.0,44.0,57.0,3,3.0
384,63,5.0,30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",0.561,81.0,29.0,17.0,49.0,6,3.0
95,64,2.0,11X194,P.S./M.S. 194,0.764,167.0,64.0,39.0,61.0,13,2.6
247,65,4.0,21K095,P.S. 095 THE GRAVESEND,0.695,49.0,12.0,25.0,48.0,6,2.4000000000000004
198,66,1.0,32K384,P.S. /I.S. 384 FRANCES E. CARTER,0.863,64.0,8.0,13.0,97.0,24,2.4000000000000004
395,67,3.0,31R861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,0.569,93.0,34.0,35.0,63.0,8,2.4
97,68,2.0,31R034,I.S. 034 TOTTENVILLE,0.225,348.0,81.0,21.0,11.0,11,2.2
94,69,10.0,13K008,P.S. 008 ROBERT FULTON,0.179,97.0,42.0,65.0,25.0,2,2.0
62,70,10.0,15K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,0.381,191.0,94.0,50.0,48.0,2,2.0
46,71,2.0,30Q141,I.S. 141 THE STEINWAY,0.513,380.0,170.0,48.0,41.0,10,2.0
300,72,4.0,21K099,P.S. 099 ISAAC ASIMOV,0.695,70.0,17.0,16.0,26.0,5,2.0
427,73,1.0,18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,0.534,119.0,42.0,30.0,99.0,19,1.9000000000000001
158,74,9.0,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,0.293,22.0,6.0,28.0,30.0,2,1.8
66,75,9.0,02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,0.23600000000000002,99.0,36.0,16.0,16.0,2,1.8
368,76,6.0,10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,0.852,58.0,27.0,48.0,98.0,3,1.7999999999999998
70,77,6.0,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,0.358,105.0,46.0,21.0,40.0,3,1.7999999999999998
212,78,1.0,25Q200,P.S./M.S. 200 - THE POMONOK SCHOOL & STAR ACADEMY,0.531,65.0,9.0,13.0,69.0,17,1.7000000000000002
112,79,4.0,20K030,P.S./I.S. 30 MARY WHITE OVINGTON,0.6509999999999999,125.0,51.0,41.0,31.0,4,1.6
67,80,8.0,24Q102,P.S. 102 BAYVIEW,0.535,143.0,67.0,46.0,36.0,2,1.6
417,81,1.0,08X371,URBAN INSTITUTE OF MATHEMATICS,0.56,120.0,39.0,34.0,74.0,16,1.6
392,82,1.0,27Q232,P.S. 232 LINDENWOOD,0.369,121.0,33.0,32.0,50.0,14,1.4000000000000001
357,83,2.0,20K609,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,0.71,78.0,24.0,14.0,40.0,6,1.2000000000000002
101,84,4.0,21K226,P.S. 226 ALFRED DE B.MASON,0.6920000000000001,105.0,44.0,44.0,33.0,3,1.2000000000000002
54,85,3.0,31R007,I.S. 007 ELIAS BERNSTEIN,0.239,370.0,129.0,32.0,7.0,4,1.2
268,86,1.0,20K192,P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,0.8,67.0,14.0,20.0,53.0,11,1.1
386,87,1.0,09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,0.816,81.0,30.0,18.0,97.0,11,1.1
307,88,1.0,14K084,P.S. 084 JOSE DE DIEGO,0.5770000000000001,68.0,18.0,26.0,65.0,11,1.1
9,89,10.0,25Q185,J.H.S. 185 EDWARD BLEEKER,0.44299999999999995,494.0,250.0,46.0,32.0,1,1.0
199,90,3.0,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,0.33,31.0,9.0,7.0,43.0,3,0.8999999999999999
